Item Group,Parent Item Group,Is Group,Item Group Name,Description,Tags,Level,Category ID,Parent Category ID
Cleaning Brushes,Aquarium Cleaning Supplies,0,Cleaning Brushes,,,2,ap-2-4-3-3,ap-2-4-3
Cleaning Solutions,Aquarium Cleaning Supplies,0,Cleaning Solutions,,,2,ap-2-4-3-4,ap-2-4-3
Gravel Vacuums,Aquarium Cleaning Supplies,0,Gravel Vacuums,,,2,ap-2-4-3-5,ap-2-4-3
Scrub Pads,Aquarium Cleaning Supplies,0,Scrub Pads,,,2,ap-2-4-3-6,ap-2-4-3
Siphons,Aquarium Cleaning Supplies,0,Siphons,,,2,ap-2-4-3-7,ap-2-4-3
Tank Cleaners,Aquarium Cleaning Supplies,0,Tank Cleaners,,,2,ap-2-4-3-8,ap-2-4-3
Algae Scrapers,Animals & Pet Supplies,0,Algae Scrapers,,,1,ap-2-4-3-1,
Aquarium Gloves,Animals & Pet Supplies,0,Aquarium Gloves,,,1,ap-2-4-3-2,
Cleaning Brushes,Animals & Pet Supplies,0,Cleaning Brushes,,,1,ap-2-4-3-3,
Cleaning Solutions,Animals & Pet Supplies,0,Cleaning Solutions,,,1,ap-2-4-3-4,
Gravel Vacuums,Animals & Pet Supplies,0,Gravel Vacuums,,,1,ap-2-4-3-5,
Scrub Pads,Animals & Pet Supplies,0,Scrub Pads,,,1,ap-2-4-3-6,
Siphons,Animals & Pet Supplies,0,Siphons,,,1,ap-2-4-3-7,
Tank Cleaners,Animals & Pet Supplies,0,Tank Cleaners,,,1,ap-2-4-3-8,
Aquarium Decors,Animals & Pet Supplies,1,Aquarium Decors,,,1,ap-2-4-4,
Aquarium Backgrounds,Aquarium Decors,0,Aquarium Backgrounds,,,2,ap-2-4-4-1,ap-2-4-4
Aquarium Caves & Shelters,Aquarium Decors,0,Aquarium Caves & Shelters,,,2,ap-2-4-4-2,ap-2-4-4
Aquarium Rocks,Aquarium Decors,0,Aquarium Rocks,,,2,ap-2-4-4-3,ap-2-4-4
Aquarium Substrates,Aquarium Decors,0,Aquarium Substrates,,,2,ap-2-4-4-4,ap-2-4-4
Artificial Plants,Aquarium Decors,0,Artificial Plants,,,2,ap-2-4-4-5,ap-2-4-4
Bubbling Decorations,Aquarium Decors,0,Bubbling Decorations,,,2,ap-2-4-4-6,ap-2-4-4
Driftwood,Aquarium Decors,0,Driftwood,,,2,ap-2-4-4-7,ap-2-4-4
Ornaments,Aquarium Decors,0,Ornaments,,,2,ap-2-4-4-8,ap-2-4-4
Shipwrecks,Aquarium Decors,0,Shipwrecks,,,2,ap-2-4-4-9,ap-2-4-4
Aquarium Backgrounds,Animals & Pet Supplies,0,Aquarium Backgrounds,,,1,ap-2-4-4-1,
Aquarium Caves & Shelters,Animals & Pet Supplies,0,Aquarium Caves & Shelters,,,1,ap-2-4-4-2,
Aquarium Rocks,Animals & Pet Supplies,0,Aquarium Rocks,,,1,ap-2-4-4-3,
Aquarium Substrates,Animals & Pet Supplies,0,Aquarium Substrates,,,1,ap-2-4-4-4,
Artificial Plants,Animals & Pet Supplies,0,Artificial Plants,,,1,ap-2-4-4-5,
Bubbling Decorations,Animals & Pet Supplies,0,Bubbling Decorations,,,1,ap-2-4-4-6,
Driftwood,Animals & Pet Supplies,0,Driftwood,,,1,ap-2-4-4-7,
Ornaments,Animals & Pet Supplies,0,Ornaments,,,1,ap-2-4-4-8,
Shipwrecks,Animals & Pet Supplies,0,Shipwrecks,,,1,ap-2-4-4-9,
Aquarium Filters,Animals & Pet Supplies,1,Aquarium Filters,,,1,ap-2-4-5,
External & Canister Aquarium Filters,Aquarium Filters,0,External & Canister Aquarium Filters,,,2,ap-2-4-5-1,ap-2-4-5
Hang-On-Back (HOB) Aquarium Filters,Aquarium Filters,0,Hang-On-Back (HOB) Aquarium Filters,,,2,ap-2-4-5-2,ap-2-4-5
